No,continent,short,country,food,foodexplain,photourl,nonwikiurl,etc
228,Africa,KE,Kenya,"Mursik(Maziwa lala)","Mursik is a traditional fermented milk variant of the Kalenjin people of Kenya. It can be made from cow or goat milk and is fermented in a specially made calabash gourd locally known as a sotet. The gourd is lined with soot from specific trees which add flavor to the fermented milk. It is normally consumed with ugali or on its own and is served at room temperature or chilled.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Kipsigis_Gourd.jpg/330px-Kipsigis_Gourd.jpg,,
229,Africa,KE,Kenya,Githeri(Kande),"Githeri , also called muthere or mutheri, is a Kenyan traditional meal of maize and legumes, mostly beans of any type mixed and boiled together. The maize and beans are mixed together in a sufuria or pot, water is then added and the mixture boiled until the food is cooked and ready to eat. Githiri is the staple food of the Gikuyu, Meru and Embu people in the Central Province of Kenya, but it is also popular in other parts of the country and other communities, such as the Kamba people of Eastern province of Kenya. The beans and maize can either be fresh or dry, but most people prefer fresh because of the better taste. It is easy to access because maize and beans are readily available in these areas since they are mostly sourced directly from local farms and homesteads.

Githiri can also be made into a stew with the addition of vegetables and potatoes, and sometimes meat. Githeri is also used to make mukimo after the addition of potatoes, bananas, and greens, and mashing up the mixture. Lately there has been a rise in the popularity of githeri due to the health benefits associated with the plant-based dish.

The same dish based comprising 2 key ingredients of maize and beans other available legumes and even ground nuts is know by other names and as a traditional dish from at least as far north of Africa as Ethiopia right down to South Africa. Kande, Pure, Ngate are some of the names it goes by in different parts of Tanzania for example. The dish has quite a much bigger footprint than just Kenya and the Gikuyu tribe.

Part of the popularity of this dish arises because it has been the main meal served to students since the 1920s. Eating githeri has also become trendy with young people. Many hotels in Kenya serve githeri.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Githeri.jpg/330px-Githeri.jpg,,
230,Africa,CD,Congo,Chikwangue,"cassava paste roll cooked inside a leaf wrap",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg/330px-Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg,,
231,Africa,CD,Congo,Couscous,"Couscous originated as a Maghrebi dish of small (about 3 millimetres (0.12 in) diameter) steamed balls of crushed durum wheat semolina that is traditionally served with a stew spooned on top. Pearl millet and sorghum, especially in the Sahel, and other cereals can be cooked in a similar way and the resulting dishes are also sometimes called couscous. Pearl or Israeli couscous, properly known as ptitim, is a type of pasta. Couscous is a staple food throughout the North African cuisines of Morocco, Algeria, Tunisia, Mauritania, and Libya. It is also important in the cuisine of those from that area who have emigrated elsewhere such as the Moroccan Jews in Israel, and has sometimes spread from them to their new neighbors as in France where couscous introduced by Algerian immigrants is now a very popular dish.In Western supermarkets, it is sometimes sold in instant form with a flavor packet, and may be served as a side or on its own as a main dish.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cuscus.jpg/353px-Cuscus.jpg,,
232,Africa,CD,Congo,Moambé,"Palm butter or palm cream, frequently known as moambe, mwambe or nyembwe, is an ingredient made from the pericarp (not the seeds) of palm nuts, the fruit of the African oil palm (Elaeis guineensis) tree. It forms an important ingredient in stews and sauces in African cuisine. Dishes made with the sauce often include peanuts, peanut sauce, or peanut butter. The meat usually used in the dishes is chicken but other meats such as beef, fish, mutton, or any wild game meat such as crocodile or venison are used as well. Moambe chicken is considered a national dish of three African countries.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Moambe_-_noix_de_palme_sauce_with_chicken.jpg/330px-Moambe_-_noix_de_palme_sauce_with_chicken.jpg,,
233,Africa,CD,Congo,Akara,"Acarajé  is a dish made from peeled beans formed into a ball and then deep-fried in dendê (palm oil). It is found in West African and Brazilian cuisines. The dish is traditionally encountered in Brazil's northeastern state of Bahia, especially in the city of Salvador. Acarajé serves as both a religious offering to the gods in the Candomblé religion and as street food. The dish was brought by enslaved peoples from West Africa, and can be found in various forms in Nigeria, Ghana, Togo, Benin, Mali, Gambia and Sierra Leone.

Acarajé is made with cooked and mashed black eyed peas seasoned with salt and chopped onions molded into the shape of a large scone and deep-fried in palm oil in a wok-like pan in front of the customers. It is served split in half and stuffed with vatapá and caruru spicy pastes made from shrimp, ground cashews, palm oil and other ingredients. A vegetarian version is typically served with hot peppers and green tomatoes. Acarajé can also come in a second form called abara, where the ingredients are boiled instead of deep fried",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Acaraje-Baiana.jpg/330px-Acaraje-Baiana.jpg,,
234,Africa,CD,Congo,"Moin moin (comida)","Moimoi or Moin-Moin is a Nigerian steamed bean pudding made from a mixture of washed and peeled black-eyed peas, onions and fresh ground peppers (usually a combination of bell peppers and chili or Scotch bonnet). It is a protein-rich food that is a staple in Nigeria.
Moin-Moin is prepared by first soaking the beans in cold water until they are soft enough to remove the fine outer covering or peel. Then they are ground or blended (using a blender) until a fine paste is achieved. Salt, bouillon cube, dried crayfish, vegetable oil (or any edible oil such as palm oil) and other seasonings are added to taste. Some add sardines, corned beef, sliced boiled eggs, or a combination of these and other 'garnishes' to liven up Moin-Moin. Such is referred to as having 'x' number of lives, 'x' representing the number of garnishes added. The most touted is Moin-Moin elemi meje, which translates to Moin-Moin with seven lives.

Moin-Moin usually comes in a slanted pyramid shape or a cylindrical shape, owing to the mold it is poured into prior to cooking. The pyramid shape comes from the traditional broad "ewe eran" (Thaumatococcus daniellii) or banana leaves fashioned into a cone in one's palm, then the seasoned and garnished liquid is poured into the leaves, which is then folded.

The cylindrical shapes come from empty cans of milk or tomato sauce used in preparation of other dishes. Once placed in its mold, it is placed in a large pot about a tenth filled with water. The water is the source of steam that cooks the Moin-Moin. Moin-Moin is eaten alone or with bread as a snack, with rice as a meal or with ogi for breakfast or supper. it can also be taken with garri in the afternoon.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/MoinMoin_London.jpg/375px-MoinMoin_London.jpg,,
235,Africa,DZ,Algeria,Chikwangue,"cassava paste roll cooked inside a leaf wrap",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg/330px-Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg,,
236,Africa,DZ,Algeria,Couscous,"Couscous originated as a Maghrebi dish of small (about 3 millimetres (0.12 in) diameter) steamed balls of crushed durum wheat semolina that is traditionally served with a stew spooned on top. Pearl millet and sorghum, especially in the Sahel, and other cereals can be cooked in a similar way and the resulting dishes are also sometimes called couscous. Pearl or Israeli couscous, properly known as ptitim, is a type of pasta. Couscous is a staple food throughout the North African cuisines of Morocco, Algeria, Tunisia, Mauritania, and Libya. It is also important in the cuisine of those from that area who have emigrated elsewhere such as the Moroccan Jews in Israel, and has sometimes spread from them to their new neighbors as in France where couscous introduced by Algerian immigrants is now a very popular dish.In Western supermarkets, it is sometimes sold in instant form with a flavor packet, and may be served as a side or on its own as a main dish.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cuscus.jpg/353px-Cuscus.jpg,,
237,Africa,DZ,Algeria,Moambé,"Palm butter or palm cream, frequently known as moambe, mwambe or nyembwe, is an ingredient made from the pericarp (not the seeds) of palm nuts, the fruit of the African oil palm (Elaeis guineensis) tree. It forms an important ingredient in stews and sauces in African cuisine. Dishes made with the sauce often include peanuts, peanut sauce, or peanut butter. The meat usually used in the dishes is chicken but other meats such as beef, fish, mutton, or any wild game meat such as crocodile or venison are used as well. Moambe chicken is considered a national dish of three African countries.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Moambe_-_noix_de_palme_sauce_with_chicken.jpg/330px-Moambe_-_noix_de_palme_sauce_with_chicken.jpg,,
238,Africa,DZ,Algeria,Akara,"Acarajé  is a dish made from peeled beans formed into a ball and then deep-fried in dendê (palm oil). It is found in West African and Brazilian cuisines. The dish is traditionally encountered in Brazil's northeastern state of Bahia, especially in the city of Salvador. Acarajé serves as both a religious offering to the gods in the Candomblé religion and as street food. The dish was brought by enslaved peoples from West Africa, and can be found in various forms in Nigeria, Ghana, Togo, Benin, Mali, Gambia and Sierra Leone.

Acarajé is made with cooked and mashed black eyed peas seasoned with salt and chopped onions molded into the shape of a large scone and deep-fried in palm oil in a wok-like pan in front of the customers. It is served split in half and stuffed with vatapá and caruru spicy pastes made from shrimp, ground cashews, palm oil and other ingredients. A vegetarian version is typically served with hot peppers and green tomatoes. Acarajé can also come in a second form called abara, where the ingredients are boiled instead of deep fried",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Acaraje-Baiana.jpg/330px-Acaraje-Baiana.jpg,,
239,Africa,DZ,Algeria,"Moin moin (comida)","Moimoi or Moin-Moin is a Nigerian steamed bean pudding made from a mixture of washed and peeled black-eyed peas, onions and fresh ground peppers (usually a combination of bell peppers and chili or Scotch bonnet). It is a protein-rich food that is a staple in Nigeria.
Moin-Moin is prepared by first soaking the beans in cold water until they are soft enough to remove the fine outer covering or peel. Then they are ground or blended (using a blender) until a fine paste is achieved. Salt, bouillon cube, dried crayfish, vegetable oil (or any edible oil such as palm oil) and other seasonings are added to taste. Some add sardines, corned beef, sliced boiled eggs, or a combination of these and other 'garnishes' to liven up Moin-Moin. Such is referred to as having 'x' number of lives, 'x' representing the number of garnishes added. The most touted is Moin-Moin elemi meje, which translates to Moin-Moin with seven lives.

Moin-Moin usually comes in a slanted pyramid shape or a cylindrical shape, owing to the mold it is poured into prior to cooking. The pyramid shape comes from the traditional broad "ewe eran" (Thaumatococcus daniellii) or banana leaves fashioned into a cone in one's palm, then the seasoned and garnished liquid is poured into the leaves, which is then folded.

The cylindrical shapes come from empty cans of milk or tomato sauce used in preparation of other dishes. Once placed in its mold, it is placed in a large pot about a tenth filled with water. The water is the source of steam that cooks the Moin-Moin. Moin-Moin is eaten alone or with bread as a snack, with rice as a meal or with ogi for breakfast or supper. it can also be taken with garri in the afternoon.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/MoinMoin_London.jpg/375px-MoinMoin_London.jpg,,
240,Africa,NG,Nigeria,Chikwangue,"cassava paste roll cooked inside a leaf wrap",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg/330px-Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg,,
241,Africa,NG,Nigeria,Couscous,"Couscous originated as a Maghrebi dish of small (about 3 millimetres (0.12 in) diameter) steamed balls of crushed durum wheat semolina that is traditionally served with a stew spooned on top. Pearl millet and sorghum, especially in the Sahel, and other cereals can be cooked in a similar way and the resulting dishes are also sometimes called couscous. Pearl or Israeli couscous, properly known as ptitim, is a type of pasta. Couscous is a staple food throughout the North African cuisines of Morocco, Algeria, Tunisia, Mauritania, and Libya. It is also important in the cuisine of those from that area who have emigrated elsewhere such as the Moroccan Jews in Israel, and has sometimes spread from them to their new neighbors as in France where couscous introduced by Algerian immigrants is now a very popular dish.In Western supermarkets, it is sometimes sold in instant form with a flavor packet, and may be served as a side or on its own as a main dish.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cuscus.jpg/353px-Cuscus.jpg,,
242,Africa,NG,Nigeria,Moambé,"Palm butter or palm cream, frequently known as moambe, mwambe or nyembwe, is an ingredient made from the pericarp (not the seeds) of palm nuts, the fruit of the African oil palm (Elaeis guineensis) tree. It forms an important ingredient in stews and sauces in African cuisine. Dishes made with the sauce often include peanuts, peanut sauce, or peanut butter. The meat usually used in the dishes is chicken but other meats such as beef, fish, mutton, or any wild game meat such as crocodile or venison are used as well. Moambe chicken is considered a national dish of three African countries.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Moambe_-_noix_de_palme_sauce_with_chicken.jpg/330px-Moambe_-_noix_de_palme_sauce_with_chicken.jpg,,
243,Africa,NG,Nigeria,Akara,"Acarajé  is a dish made from peeled beans formed into a ball and then deep-fried in dendê (palm oil). It is found in West African and Brazilian cuisines. The dish is traditionally encountered in Brazil's northeastern state of Bahia, especially in the city of Salvador. Acarajé serves as both a religious offering to the gods in the Candomblé religion and as street food. The dish was brought by enslaved peoples from West Africa, and can be found in various forms in Nigeria, Ghana, Togo, Benin, Mali, Gambia and Sierra Leone.

Acarajé is made with cooked and mashed black eyed peas seasoned with salt and chopped onions molded into the shape of a large scone and deep-fried in palm oil in a wok-like pan in front of the customers. It is served split in half and stuffed with vatapá and caruru spicy pastes made from shrimp, ground cashews, palm oil and other ingredients. A vegetarian version is typically served with hot peppers and green tomatoes. Acarajé can also come in a second form called abara, where the ingredients are boiled instead of deep fried",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Acaraje-Baiana.jpg/330px-Acaraje-Baiana.jpg,,
244,Africa,NG,Nigeria,"Moin moin (comida)","Moimoi or Moin-Moin is a Nigerian steamed bean pudding made from a mixture of washed and peeled black-eyed peas, onions and fresh ground peppers (usually a combination of bell peppers and chili or Scotch bonnet). It is a protein-rich food that is a staple in Nigeria.
Moin-Moin is prepared by first soaking the beans in cold water until they are soft enough to remove the fine outer covering or peel. Then they are ground or blended (using a blender) until a fine paste is achieved. Salt, bouillon cube, dried crayfish, vegetable oil (or any edible oil such as palm oil) and other seasonings are added to taste. Some add sardines, corned beef, sliced boiled eggs, or a combination of these and other 'garnishes' to liven up Moin-Moin. Such is referred to as having 'x' number of lives, 'x' representing the number of garnishes added. The most touted is Moin-Moin elemi meje, which translates to Moin-Moin with seven lives.

Moin-Moin usually comes in a slanted pyramid shape or a cylindrical shape, owing to the mold it is poured into prior to cooking. The pyramid shape comes from the traditional broad "ewe eran" (Thaumatococcus daniellii) or banana leaves fashioned into a cone in one's palm, then the seasoned and garnished liquid is poured into the leaves, which is then folded.

The cylindrical shapes come from empty cans of milk or tomato sauce used in preparation of other dishes. Once placed in its mold, it is placed in a large pot about a tenth filled with water. The water is the source of steam that cooks the Moin-Moin. Moin-Moin is eaten alone or with bread as a snack, with rice as a meal or with ogi for breakfast or supper. it can also be taken with garri in the afternoon.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/MoinMoin_London.jpg/375px-MoinMoin_London.jpg,,
245,Africa,SD,Sudan,Chikwangue,"cassava paste roll cooked inside a leaf wrap",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg/330px-Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg,,
246,Africa,SD,Sudan,Couscous,"Couscous originated as a Maghrebi dish of small (about 3 millimetres (0.12 in) diameter) steamed balls of crushed durum wheat semolina that is traditionally served with a stew spooned on top. Pearl millet and sorghum, especially in the Sahel, and other cereals can be cooked in a similar way and the resulting dishes are also sometimes called couscous. Pearl or Israeli couscous, properly known as ptitim, is a type of pasta. Couscous is a staple food throughout the North African cuisines of Morocco, Algeria, Tunisia, Mauritania, and Libya. It is also important in the cuisine of those from that area who have emigrated elsewhere such as the Moroccan Jews in Israel, and has sometimes spread from them to their new neighbors as in France where couscous introduced by Algerian immigrants is now a very popular dish.In Western supermarkets, it is sometimes sold in instant form with a flavor packet, and may be served as a side or on its own as a main dish.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cuscus.jpg/353px-Cuscus.jpg,,
247,Africa,SD,Sudan,Moambé,"Palm butter or palm cream, frequently known as moambe, mwambe or nyembwe, is an ingredient made from the pericarp (not the seeds) of palm nuts, the fruit of the African oil palm (Elaeis guineensis) tree. It forms an important ingredient in stews and sauces in African cuisine. Dishes made with the sauce often include peanuts, peanut sauce, or peanut butter. The meat usually used in the dishes is chicken but other meats such as beef, fish, mutton, or any wild game meat such as crocodile or venison are used as well. Moambe chicken is considered a national dish of three African countries.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Moambe_-_noix_de_palme_sauce_with_chicken.jpg/330px-Moambe_-_noix_de_palme_sauce_with_chicken.jpg,,
248,Africa,SD,Sudan,Akara,"Acarajé  is a dish made from peeled beans formed into a ball and then deep-fried in dendê (palm oil). It is found in West African and Brazilian cuisines. The dish is traditionally encountered in Brazil's northeastern state of Bahia, especially in the city of Salvador. Acarajé serves as both a religious offering to the gods in the Candomblé religion and as street food. The dish was brought by enslaved peoples from West Africa, and can be found in various forms in Nigeria, Ghana, Togo, Benin, Mali, Gambia and Sierra Leone.

Acarajé is made with cooked and mashed black eyed peas seasoned with salt and chopped onions molded into the shape of a large scone and deep-fried in palm oil in a wok-like pan in front of the customers. It is served split in half and stuffed with vatapá and caruru spicy pastes made from shrimp, ground cashews, palm oil and other ingredients. A vegetarian version is typically served with hot peppers and green tomatoes. Acarajé can also come in a second form called abara, where the ingredients are boiled instead of deep fried",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Acaraje-Baiana.jpg/330px-Acaraje-Baiana.jpg,,
249,Africa,SD,Sudan,"Moin moin (comida)","Moimoi or Moin-Moin is a Nigerian steamed bean pudding made from a mixture of washed and peeled black-eyed peas, onions and fresh ground peppers (usually a combination of bell peppers and chili or Scotch bonnet). It is a protein-rich food that is a staple in Nigeria.
Moin-Moin is prepared by first soaking the beans in cold water until they are soft enough to remove the fine outer covering or peel. Then they are ground or blended (using a blender) until a fine paste is achieved. Salt, bouillon cube, dried crayfish, vegetable oil (or any edible oil such as palm oil) and other seasonings are added to taste. Some add sardines, corned beef, sliced boiled eggs, or a combination of these and other 'garnishes' to liven up Moin-Moin. Such is referred to as having 'x' number of lives, 'x' representing the number of garnishes added. The most touted is Moin-Moin elemi meje, which translates to Moin-Moin with seven lives.

Moin-Moin usually comes in a slanted pyramid shape or a cylindrical shape, owing to the mold it is poured into prior to cooking. The pyramid shape comes from the traditional broad "ewe eran" (Thaumatococcus daniellii) or banana leaves fashioned into a cone in one's palm, then the seasoned and garnished liquid is poured into the leaves, which is then folded.

The cylindrical shapes come from empty cans of milk or tomato sauce used in preparation of other dishes. Once placed in its mold, it is placed in a large pot about a tenth filled with water. The water is the source of steam that cooks the Moin-Moin. Moin-Moin is eaten alone or with bread as a snack, with rice as a meal or with ogi for breakfast or supper. it can also be taken with garri in the afternoon.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/MoinMoin_London.jpg/375px-MoinMoin_London.jpg,,
250,Africa,AO,Angola,Chikwangue,"cassava paste roll cooked inside a leaf wrap",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg/330px-Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg,,
251,Africa,AO,Angola,Couscous,"Couscous originated as a Maghrebi dish of small (about 3 millimetres (0.12 in) diameter) steamed balls of crushed durum wheat semolina that is traditionally served with a stew spooned on top. Pearl millet and sorghum, especially in the Sahel, and other cereals can be cooked in a similar way and the resulting dishes are also sometimes called couscous. Pearl or Israeli couscous, properly known as ptitim, is a type of pasta. Couscous is a staple food throughout the North African cuisines of Morocco, Algeria, Tunisia, Mauritania, and Libya. It is also important in the cuisine of those from that area who have emigrated elsewhere such as the Moroccan Jews in Israel, and has sometimes spread from them to their new neighbors as in France where couscous introduced by Algerian immigrants is now a very popular dish.In Western supermarkets, it is sometimes sold in instant form with a flavor packet, and may be served as a side or on its own as a main dish.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cuscus.jpg/353px-Cuscus.jpg,,
252,Africa,AO,Angola,Moambé,"Palm butter or palm cream, frequently known as moambe, mwambe or nyembwe, is an ingredient made from the pericarp (not the seeds) of palm nuts, the fruit of the African oil palm (Elaeis guineensis) tree. It forms an important ingredient in stews and sauces in African cuisine. Dishes made with the sauce often include peanuts, peanut sauce, or peanut butter. The meat usually used in the dishes is chicken but other meats such as beef, fish, mutton, or any wild game meat such as crocodile or venison are used as well. Moambe chicken is considered a national dish of three African countries.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Moambe_-_noix_de_palme_sauce_with_chicken.jpg/330px-Moambe_-_noix_de_palme_sauce_with_chicken.jpg,,
253,Africa,AO,Angola,Akara,"Acarajé  is a dish made from peeled beans formed into a ball and then deep-fried in dendê (palm oil). It is found in West African and Brazilian cuisines. The dish is traditionally encountered in Brazil's northeastern state of Bahia, especially in the city of Salvador. Acarajé serves as both a religious offering to the gods in the Candomblé religion and as street food. The dish was brought by enslaved peoples from West Africa, and can be found in various forms in Nigeria, Ghana, Togo, Benin, Mali, Gambia and Sierra Leone.

Acarajé is made with cooked and mashed black eyed peas seasoned with salt and chopped onions molded into the shape of a large scone and deep-fried in palm oil in a wok-like pan in front of the customers. It is served split in half and stuffed with vatapá and caruru spicy pastes made from shrimp, ground cashews, palm oil and other ingredients. A vegetarian version is typically served with hot peppers and green tomatoes. Acarajé can also come in a second form called abara, where the ingredients are boiled instead of deep fried",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Acaraje-Baiana.jpg/330px-Acaraje-Baiana.jpg,,
254,Africa,AO,Angola,"Moin moin (comida)","Moimoi or Moin-Moin is a Nigerian steamed bean pudding made from a mixture of washed and peeled black-eyed peas, onions and fresh ground peppers (usually a combination of bell peppers and chili or Scotch bonnet). It is a protein-rich food that is a staple in Nigeria.
Moin-Moin is prepared by first soaking the beans in cold water until they are soft enough to remove the fine outer covering or peel. Then they are ground or blended (using a blender) until a fine paste is achieved. Salt, bouillon cube, dried crayfish, vegetable oil (or any edible oil such as palm oil) and other seasonings are added to taste. Some add sardines, corned beef, sliced boiled eggs, or a combination of these and other 'garnishes' to liven up Moin-Moin. Such is referred to as having 'x' number of lives, 'x' representing the number of garnishes added. The most touted is Moin-Moin elemi meje, which translates to Moin-Moin with seven lives.

Moin-Moin usually comes in a slanted pyramid shape or a cylindrical shape, owing to the mold it is poured into prior to cooking. The pyramid shape comes from the traditional broad "ewe eran" (Thaumatococcus daniellii) or banana leaves fashioned into a cone in one's palm, then the seasoned and garnished liquid is poured into the leaves, which is then folded.

The cylindrical shapes come from empty cans of milk or tomato sauce used in preparation of other dishes. Once placed in its mold, it is placed in a large pot about a tenth filled with water. The water is the source of steam that cooks the Moin-Moin. Moin-Moin is eaten alone or with bread as a snack, with rice as a meal or with ogi for breakfast or supper. it can also be taken with garri in the afternoon.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/MoinMoin_London.jpg/375px-MoinMoin_London.jpg,,
255,Africa,ZM,Zambia,Chikwangue,"cassava paste roll cooked inside a leaf wrap",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg/330px-Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg,,
256,Africa,ZM,Zambia,Couscous,"Couscous originated as a Maghrebi dish of small (about 3 millimetres (0.12 in) diameter) steamed balls of crushed durum wheat semolina that is traditionally served with a stew spooned on top. Pearl millet and sorghum, especially in the Sahel, and other cereals can be cooked in a similar way and the resulting dishes are also sometimes called couscous. Pearl or Israeli couscous, properly known as ptitim, is a type of pasta. Couscous is a staple food throughout the North African cuisines of Morocco, Algeria, Tunisia, Mauritania, and Libya. It is also important in the cuisine of those from that area who have emigrated elsewhere such as the Moroccan Jews in Israel, and has sometimes spread from them to their new neighbors as in France where couscous introduced by Algerian immigrants is now a very popular dish.In Western supermarkets, it is sometimes sold in instant form with a flavor packet, and may be served as a side or on its own as a main dish.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cuscus.jpg/353px-Cuscus.jpg,,
257,Africa,ZM,Zambia,Moambé,"Palm butter or palm cream, frequently known as moambe, mwambe or nyembwe, is an ingredient made from the pericarp (not the seeds) of palm nuts, the fruit of the African oil palm (Elaeis guineensis) tree. It forms an important ingredient in stews and sauces in African cuisine. Dishes made with the sauce often include peanuts, peanut sauce, or peanut butter. The meat usually used in the dishes is chicken but other meats such as beef, fish, mutton, or any wild game meat such as crocodile or venison are used as well. Moambe chicken is considered a national dish of three African countries.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Moambe_-_noix_de_palme_sauce_with_chicken.jpg/330px-Moambe_-_noix_de_palme_sauce_with_chicken.jpg,,
258,Africa,ZM,Zambia,Akara,"Acarajé  is a dish made from peeled beans formed into a ball and then deep-fried in dendê (palm oil). It is found in West African and Brazilian cuisines. The dish is traditionally encountered in Brazil's northeastern state of Bahia, especially in the city of Salvador. Acarajé serves as both a religious offering to the gods in the Candomblé religion and as street food. The dish was brought by enslaved peoples from West Africa, and can be found in various forms in Nigeria, Ghana, Togo, Benin, Mali, Gambia and Sierra Leone.

Acarajé is made with cooked and mashed black eyed peas seasoned with salt and chopped onions molded into the shape of a large scone and deep-fried in palm oil in a wok-like pan in front of the customers. It is served split in half and stuffed with vatapá and caruru spicy pastes made from shrimp, ground cashews, palm oil and other ingredients. A vegetarian version is typically served with hot peppers and green tomatoes. Acarajé can also come in a second form called abara, where the ingredients are boiled instead of deep fried",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Acaraje-Baiana.jpg/330px-Acaraje-Baiana.jpg,,
259,Africa,ZM,Zambia,"Moin moin (comida)","Moimoi or Moin-Moin is a Nigerian steamed bean pudding made from a mixture of washed and peeled black-eyed peas, onions and fresh ground peppers (usually a combination of bell peppers and chili or Scotch bonnet). It is a protein-rich food that is a staple in Nigeria.
Moin-Moin is prepared by first soaking the beans in cold water until they are soft enough to remove the fine outer covering or peel. Then they are ground or blended (using a blender) until a fine paste is achieved. Salt, bouillon cube, dried crayfish, vegetable oil (or any edible oil such as palm oil) and other seasonings are added to taste. Some add sardines, corned beef, sliced boiled eggs, or a combination of these and other 'garnishes' to liven up Moin-Moin. Such is referred to as having 'x' number of lives, 'x' representing the number of garnishes added. The most touted is Moin-Moin elemi meje, which translates to Moin-Moin with seven lives.

Moin-Moin usually comes in a slanted pyramid shape or a cylindrical shape, owing to the mold it is poured into prior to cooking. The pyramid shape comes from the traditional broad "ewe eran" (Thaumatococcus daniellii) or banana leaves fashioned into a cone in one's palm, then the seasoned and garnished liquid is poured into the leaves, which is then folded.

The cylindrical shapes come from empty cans of milk or tomato sauce used in preparation of other dishes. Once placed in its mold, it is placed in a large pot about a tenth filled with water. The water is the source of steam that cooks the Moin-Moin. Moin-Moin is eaten alone or with bread as a snack, with rice as a meal or with ogi for breakfast or supper. it can also be taken with garri in the afternoon.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/MoinMoin_London.jpg/375px-MoinMoin_London.jpg,,
260,Africa,GH,"Republic of Ghana",Chikwangue,"cassava paste roll cooked inside a leaf wrap",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg/330px-Cassava_Bread_-_cassava_cooked_in_leaf_wrap_%28Kwanga%2C_Chikwangue%29.jpg,,
